,Address,Lot_Size,Price,Unit,latitude,longitude
0,"1534 Max Ave, Chula Vista, CA 91911",0.68,480000.0,acres lot,32.602,-117.0459
1,"Lyons Valley Road 51 #596-062-00, Jamul, CA 91935",4.22,399000.0,acres lot,32.722,-116.7613
2,"0 Vista Sage Pl, Jamul, CA 91935",2.67,375000.0,acres lot,32.719,-116.8860
3,"2518 Forest Park Trail 38 LOT 522-160-00, Jamul, CA 91935",20.64,375000.0,acres lot,32.736,-116.7317
4,"3236 National Ave LOT 550532600, San Diego, CA 92113",0.081267217630854,365500.0,sqft lot,32.6959,-117.12451
5,"3236 National Ave, San Diego, CA 92113",0.081267217630854,365500.0,sqft lot,32.6959,-117.12451
6,"17 Street, National City, CA 91950",0.2334022038567493,300000.0,sqft lot,32.67,-117.0728
7,"17 E 17th St #218, National City, CA 91950",0.2334022038567493,300000.0,sqft lot,32.6681,-117.10342
8,"0 Presilla Dr, Jamul, CA 91935",2.6,299999.0,acres lot,32.706,-116.8493
9,"177 Monarch Bay Dr, Dana Point, CA 92629",0.5,11500000.0,acres lot,33.4870,-117.73036
10,"3500 Sweeney Rd, Lompoc, CA 93436",320.0,11000000.0,acres lot,34.627,-120.3403
11,"1229 N Olive Dr, West Hollywood, CA 90069",0.34,10900000.0,acres lot,34.0926,-118.3742
12,"1235 N Olive Dr, West Hollywood, CA 90069",0.34,10900000.0,acres lot,34.0927,-118.3742
13,"1633 Blue Jay Way, Los Angeles, CA 90069",0.56,10899000.0,acres lot,34.102,-118.3872
14,"7010 Vallecitos Rd, Sunol, CA 94586",264.8,10880000.0,acres lot,37.6041,-121.84089
15,"18780 Cajalco Rd, Perris, CA 92570",31.14,10725000.0,acres lot,33.840,-117.334
16,"0 Highway 155 #0, Delano, CA 93215",5278.43,10500000.0,acres lot,35.7577,-119.24896
17,"Hwy 155, Delano, CA 93215",5278.34,10500000.0,acres lot,35.761,-119.2583
18,"0 Browns Canyon Rd, Chatsworth, CA 91311",4.57,10500000.0,acres lot,34.297,-118.5922
19,"67 Emerald Bay, Laguna Beach, CA 92651",0.15,10500000.0,sqft lot,33.552,-117.8068
20,"0 Lacey Blvd, Lemoore, CA 93245",520.0,10400000.0,acres lot,36.327,-119.7485
21,"1893 Woodland Ave, East Palo Alto, CA 94303",1.12,10180000.0,acres lot,37.453,-122.13055
22,"4381 E International Ave, Clovis, CA 93619",20.0,10000000.0,acres lot,36.886,-119.70326
23,"100 Serrano Rd, Malibu, CA 90265",25.13,10000000.0,acres lot,34.094,-118.96567
24,"0 Benton Rd, Winchester, CA 92596",17.74,10000000.0,acres lot,33.591,-117.1032
25,"0 Indian Ave, North Palm Springs, CA 92258",78.77,10000000.0,acres lot,33.9227,-116.54306
26,"0 Sandalwood Dr, Big Bear Lake, CA 92315",24.91,10000000.0,acres lot,34.2530,-116.88516
28,"0 Simpson Rd, Winchester, CA 92596",49.0,10000000.0,acres lot,33.708,-117.0990
29,"30465 Highland Way, Los Gatos, CA 95033",69.37,10000000.0,acres lot,37.0707,-121.83424
30,"0 Leon Rd, Winchester, CA 92596",84.8,10000000.0,acres lot,33.608,-117.1167
31,"81437 Peary Pl, La Quinta, CA 92253",1.42,10000000.0,acres lot,33.6,-116.2438
32,"3 Anza Rd, Temecula, CA 92591",106.16,9998550.0,acres lot,33.499,-117.0546
33,"4539 Camden Dr, Corona Del Mar, CA 92625",0.26,9995000.0,acres lot,33.586,-117.8633
34,"8050 Bitterwater Rd, Shandon, CA 93461",8525.0,9995000.0,acres lot,35.533,-120.0955
35,"3600 State Highway 86, Thermal, CA 92274",152.0,9950000.0,acres lot,33.385,-116.0221
36,"0 W Whitesbridge Ave, Tranquillity, CA 93668",333.78,9926242.0,acres lot,36.7358,-119.8128
37,"34776 Pacific Coast Hwy, Capistrano Beach, CA 92624",0.86,9900000.0,acres lot,33.457,-117.670
38,"1271 E Julian St, San Jose, CA 95116",0.48,8900000.0,acres lot,37.3527,-121.86967
39,"3832 N Figueroa St, Los Angeles, CA 90031",1.08,8900000.0,acres lot,34.090,-118.2108
40,"26 Pelican Crest Dr, Newport Coast, CA 92657",0.45,8900000.0,acres lot,33.595,-117.84322
41,"112 N Beverly Glen Blvd, Los Angeles, CA 90077",0.92,8900000.0,acres lot,34.083,-118.4342
42,"233 N Hudson Ave, Pasadena, CA 91101",0.37,8849000.0,acres lot,34.149,-118.1349
43,"9625 Oak Pass Rd, Beverly Hills, CA 90210",0.46,8800000.0,acres lot,34.115,-118.42796
44,"0 Mill Creek Rd, Fremont, CA 94539",54.0,8800000.0,acres lot,37.537,-121.8940
45,"1 Santa Ana Canyon Rd, Anaheim, CA 92807",28.76,8750000.0,acres lot,33.856,-117.7746
46,"1838 S Brand Blvd, Glendale, CA 91204",0.63,8750000.0,acres lot,34.122,-118.2558
47,"33 Shoreline Dr, Dana Pt, CA 92629",0.27,8700000.0,acres lot,33.464,-117.7098
48,"1706 E Route 66, Glendora, CA 91740",3.6,8680000.0,acres lot,34.128,-117.8342
49,"0 Unknown, Phelan, CA 92371",428.41,8600000.0,acres lot,34.4262,-117.57250
50,"507 N Chandler Ave, Monterey Park, CA 91754",1.3,8500000.0,acres lot,34.0673,-118.13261
51,"0 Pias Ranch Rd, Big Sur, CA 93920",10.3,8500000.0,acres lot,36.235,-121.7938
52,"4490 Estelle Vineyard Dr, Santa Ynez, CA 93460",120.0,8500000.0,acres lot,34.648,-120.0492
53,"17654 N Main St, Porterville, CA 93257",141.0,8445900.0,acres lot,36.110,-119.043
54,"Chamberlain Road, Dos Palos, CA 93620",537.2,8326600.0,acres lot,37.15719,-120.700987
55,"1070 Drum Canyon Rd, Lompoc, CA 93436",296.92,8305360.0,acres lot,34.653,-120.2649
56,"0 Sycamore Rd, Arvin, CA 93203",61.36,8250000.0,acres lot,35.1945,-118.82410
57,"0 Camino Del Norte, Lake Elsinore, CA 92532",31.5,8200000.0,acres lot,33.6793,-117.28455
58,"32945 Marius Ave, Winchester, CA 92596",11.5,8000000.0,acres lot,33.588,-117.0843
59,"0 Green River Rd, Corona, CA 92882",100.5,8000000.0,acres lot,33.8820,-117.66521
60,"Avenue 128, Tipton, CA 93272",314.46,8000000.0,acres lot,36.01,-119.3443
61,"1 Carbon Cyn, Brea, CA 92823",161.34,8000000.0,acres lot,33.926,-117.8036
62,"44665 La Cruz Dr, Temecula, CA 92590",100.26,8000000.0,acres lot,33.48,-117.2172
63,"44735 79th Hwy, Aguanga, CA 92536",68.09,7999990.0,acres lot,33.443,-116.8791
64,"14915 Shannon Rd, Los Gatos, CA 95032",27.09,7998000.0,acres lot,37.224,-121.9276
65,"12085 Clinton St, Moorpark, CA 93021",111.74,7995000.0,acres lot,34.331,-118.8944
66,"888 Aldina Hill Rd, Walnut, CA 91789",5.18,7990000.0,acres lot,34.0310,-117.85366
67,"0 20th St, Desert Hot Springs, CA 92241",40.0,4791600.0,acres lot,33.9181,-116.43933
68,"3626 Inglis Dr, Los Angeles, CA 90065",1.57,4761250.0,acres lot,34.115,-118.2309
69,"13148 Gladstone Ave, Sylmar, CA 91342",1.0,4750000.0,acres lot,34.309,-118.4266
70,"28901 Selfridge Dr, Malibu, CA 90265",1.28,4750000.0,acres lot,34.0198,-118.8014
71,"122 Hollister Ranch Rd, Goleta, CA 93117",105.0,4750000.0,acres lot,34.4687,-120.32160
72,"0 Old Woman Springs Rd, Yucca Valley, CA 92284",514.94,4750000.0,acres lot,34.207,-116.4396
73,"22001 Santa Susana Pass Rd, Chatsworth, CA 91311",16.72,4700000.0,acres lot,34.272,-118.6117
74,"4102 Encinal Canyon Rd, Malibu, CA 90265",29.02,4700000.0,acres lot,34.042,-118.8739
75,"1 Augusta Way, Apple Valley, CA 92308",14.0,4674000.0,acres lot,34.4778,-117.203
76,"0 Beech Ave, Shafter, CA 93263",90.09,4600000.0,acres lot,35.4988,-119.26055
77,"257 Goodrich Dr, Riverside, CA 92507",13.39,4500000.0,acres lot,33.9737,-117.31011
78,"1521 Huntington Dr, Duarte, CA 91010",1.42,4500000.0,acres lot,34.140,-117.9723
79,"0 Calle Dia, Camarillo, CA 93012",52.06,4500000.0,acres lot,34.2421,-118.9716
80,"0 Vasquez Canyon Rd, Valencia, CA 91354",112.0,4500000.0,acres lot,34.4462,-118.54534
81,"225 Berkshire Ave, La Canada Flintridge, CA 91011",2.27,4500000.0,acres lot,34.187,-118.1815
82,"625 Juniper St, Nipomo, CA 93444",9.62,4495000.0,acres lot,35.037,-120.489
83,"9875 Rimmele Dr, Beverly Hills, CA 90210",1.47,4475000.0,acres lot,34.102,-118.4359
84,"28499 San Martinez Grande Canyon Rd, Saugus, CA 91384",296.57,4448550.0,acres lot,34.436,-118.6969
85,"30107 Cuthbert Rd, Malibu, CA 90265",0.98,4395000.0,acres lot,34.03,-118.8301
86,"4560 Via Esperanza, Santa Barbara, CA 93110",2.35,4395000.0,acres lot,34.4254,-119.77987
87,"0 Kurt St, Sylmar, CA 91342",9.11,4350000.0,acres lot,34.278,-118.3597
89,"42165 Big Bear Blvd, Big Bear Lake, CA 92315",4.49,4340000.0,acres lot,34.251,-116.88274
90,"Road 136, Pixley, CA 93256",174.29,4339821.0,acres lot,35.923,-119.2693
91,"1035 Parkford Dr, Redlands, CA 92374",3.41,4305717.0,acres lot,34.0428,-117.15717
92,"27255 Cottonwood Ave, Moreno Valley, CA 92555",34.25,4250000.0,acres lot,33.924,-117.186
93,"7 Monte Alegre Dr, Carpinteria, CA 93013",10.01,4250000.0,acres lot,34.418,-119.5294
94,"18218 Cal Club Rd, Buttonwillow, CA 93206",156.35,4200000.0,acres lot,35.495,-119.54207
95,"362 S Canyon View Dr, Los Angeles, CA 90049",0.28,4195000.0,acres lot,34.050,-118.4823
96,"Gamble Springs Canyon Rd, Tehachapi, CA 93561",40.0,87500.0,acres lot,35.1321,-118.44897
97,"24781 Deertrail Dr, Tehachapi, CA 93561",4.68,85000.0,acres lot,35.1792,-118.64805
98,"27833 Buckeye Canyon Rd, Keene, CA 93531",5.32,85000.0,acres lot,35.245,-118.6255
99,"23639-23639 Woodford Tehachapi Rd, Tehachapi, CA 93561",2.25,85000.0,acres lot,35.163,-118.4965
100,"23639-23639 Woodford Tehachapi Rd #102, Tehachapi, CA 93561",2.25,85000.0,acres lot,35.163,-118.4965
101,"1716 Brown St, Bakersfield, CA 93305",0.26,85000.0,acres lot,35.383,-118.9773
102,"27833 Buckeye Canyon Rd #1, Keene, CA 93531",5.32,85000.0,acres lot,35.245,-118.6255
103,"0 Gamble Springs Cannyon Rd, Tehachapi, CA 93561",40.0,85000.0,acres lot,35.1321,-118.44897
104,"24910 Paramount Dr, Tehachapi, CA 93561",3.84,80000.0,acres lot,35.181,-118.6358
105,"23821 El Rancho Dr, Tehachapi, CA 93561",2.63,80000.0,acres lot,35.163,-118.5813
106,"0 Quail Canyon Rd #130, Tehachapi, CA 93561",2.58,80000.0,acres lot,35.123,-118.2124
107,"24910 Paramount Dr #192, Tehachapi, CA 93561",3.84,80000.0,acres lot,35.181,-118.6358
108,"0 Maricopa Hwy, Maricopa, CA 93252",40.0,80000.0,acres lot,35.0584,-119.39871
109,"1 Bena Rd #90-06, Bakersfield, CA 93307",42.62,80000.0,acres lot,35.3258,-118.73910
