,Unnamed: 0,Address,Lot_Size,Price,Unit,State,Country,latitude,longitude,lat,long
0,0,"USA,California,1534 Max Ave, Chula Vista, CA 91911",0.68,480000.0,acres lot,California,USA,32.602,-117.0459,32.6029625,-117.0459807
1,1,"USA,California,Lyons Valley Road 51 #596-062-00, Jamul, CA 91935",4.22,399000.0,acres lot,California,USA,32.7169,-116.87613,32.7297609,-116.8416753
2,2,"USA,California,0 Vista Sage Pl, Jamul, CA 91935",2.67,375000.0,acres lot,California,USA,32.719,-116.886,32.7188225,-116.8866076
3,3,"USA,California,2518 Forest Park Trail 38 LOT 522-160-00, Jamul, CA 91935",20.64,375000.0,acres lot,California,USA,32.7169,-116.87613,32.7346733,-116.7337664
4,4,"USA,California,3236 National Ave LOT 550532600, San Diego, CA 92113",0.081267217630854,365500.0,sqft lot,California,USA,32.6959,-117.12451,32.6962244,-117.1245278
5,5,"USA,California,3236 National Ave, San Diego, CA 92113",0.081267217630854,365500.0,sqft lot,California,USA,32.6959,-117.12451,32.6962244,-117.1245278
6,6,"USA,California,17 Street, National City, CA 91950",0.2334022038567493,300000.0,sqft lot,California,USA,32.67,-117.0728,32.672657,-117.087517
7,7,"USA,California,17 E 17th St #218, National City, CA 91950",0.2334022038567493,300000.0,sqft lot,California,USA,32.6681,-117.10342,32.6685107,-117.1032633
8,8,"USA,California,0 Presilla Dr, Jamul, CA 91935",2.6,299999.0,acres lot,California,USA,32.706,-116.8493,32.7094572,-116.8490661
9,9,"USA,California,177 Monarch Bay Dr, Dana Point, CA 92629",0.5,11500000.0,acres lot,California,USA,33.487,-117.73036,33.4870567,-117.7303275
10,10,"USA,California,3500 Sweeney Rd, Lompoc, CA 93436",320.0,11000000.0,acres lot,California,USA,34.627,-120.3403,34.6381759,-120.408993
11,11,"USA,California,1229 N Olive Dr, West Hollywood, CA 90069",0.34,10900000.0,acres lot,California,USA,34.0926,-118.3742,34.0926518,-118.3742723
12,12,"USA,California,1235 N Olive Dr, West Hollywood, CA 90069",0.34,10900000.0,acres lot,California,USA,34.0927,-118.3742,34.0927718,-118.3742723
13,13,"USA,California,1633 Blue Jay Way, Los Angeles, CA 90069",0.56,10899000.0,acres lot,California,USA,34.102,-118.3872,34.102481,-118.387223
